日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2022-09-13,09:30:00,股票,悦心健康(002162.XSHE),买,市价单,108400股,4.5,487800,108400股,-,0,146.34,全部成交,2022-09-13 09:30:00
2022-09-14,14:50:00,股票,悦心健康(002162.XSHE),卖,市价单,-108400股,4.49,-486716,-108400股,-,-1084,632.73,全部成交,2022-09-14 14:50:00
2022-09-21,09:30:00,股票,兆新股份(002256.XSHE),买,市价单,53800股,3,161400,53800股,-,0,48.42,全部成交,2022-09-21 09:30:00
2022-09-21,09:30:00,股票,国创高新(002377.XSHE),买,市价单,51900股,3.11,161409,51900股,-,0,48.42,全部成交,2022-09-21 09:30:00
2022-09-21,09:30:00,股票,嵘泰股份(605133.XSHG),买,市价单,5500股,29.42,161810,5500股,-,0,48.54,全部成交,2022-09-21 09:30:00
2022-09-22,11:28:00,股票,国创高新(002377.XSHE),卖,市价单,-51900股,3.28,-170232,-51900股,-,8823,221.3,全部成交,2022-09-22 11:28:00
2022-09-22,11:28:00,股票,嵘泰股份(605133.XSHG),卖,市价单,-5500股,30.29,-166595,-5500股,-,4785,216.57,全部成交,2022-09-22 11:28:00
2022-09-22,14:50:00,股票,兆新股份(002256.XSHE),卖,市价单,-53800股,2.89,-155482,-53800股,-,-5918,202.13,全部成交,2022-09-22 14:50:00
2022-09-23,09:30:00,股票,钒钛股份(000629.XSHE),买,市价单,91200股,5.4,492480,91200股,-,0,147.74,全部成交,2022-09-23 09:30:00
2022-09-26,14:50:00,股票,钒钛股份(000629.XSHE),卖,市价单,-91200股,5.06,-461472,-91200股,-,-31008,599.91,全部成交,2022-09-26 14:50:00
2022-09-29,09:30:00,股票,奥维通信(002231.XSHE),买,市价单,58800股,7.83,460404,58800股,-,0,138.12,全部成交,2022-09-29 09:30:00
2022-09-30,14:50:00,股票,奥维通信(002231.XSHE),卖,市价单,-58800股,7.56,-444528,-58800股,-,-15876,577.89,全部成交,2022-09-30 14:50:00
2022-10-10,09:30:00,股票,红宝丽(002165.XSHE),买,市价单,87200股,5.09,443848,87200股,-,0,133.15,全部成交,2022-10-10 09:30:00
2022-10-11,11:28:00,股票,红宝丽(002165.XSHE),卖,市价单,-87200股,5.43,-473496,-87200股,-,29648,615.54,全部成交,2022-10-11 11:28:00
2022-10-12,09:30:00,股票,小崧股份(002723.XSHE),买,市价单,19300股,12.19,235267,19300股,-,0,70.58,全部成交,2022-10-12 09:30:00
2022-10-12,09:30:00,股票,昇兴股份(002752.XSHE),买,市价单,49300股,4.79,236147,49300股,-,0,70.84,全部成交,2022-10-12 09:30:00
2022-10-13,11:28:00,股票,小崧股份(002723.XSHE),卖,市价单,-19300股,12.18,-235074,-19300股,-,-193,305.6,全部成交,2022-10-13 11:28:00
2022-10-13,11:28:00,股票,昇兴股份(002752.XSHE),卖,市价单,-49300股,5.2,-256360,-49300股,-,20213,333.27,全部成交,2022-10-13 11:28:00
2022-10-21,09:30:00,股票,中晟高科(002778.XSHE),买,市价单,34200股,14.38,491796,34200股,-,0,147.54,全部成交,2022-10-21 09:30:00
2022-10-24,11:28:00,股票,中晟高科(002778.XSHE),卖,市价单,-34200股,14.51,-496242,-34200股,-,4446,645.11,全部成交,2022-10-24 11:28:00
2022-10-27,09:30:00,股票,豫能控股(001896.XSHE),买,市价单,88400股,5.61,495924,88400股,-,0,148.78,全部成交,2022-10-27 09:30:00
2022-10-28,14:50:00,股票,豫能控股(001896.XSHE),卖,市价单,-88400股,5.19,-458796,-88400股,-,-37128,596.43,全部成交,2022-10-28 14:50:00
2022-10-31,09:30:00,股票,冰山冷热(000530.XSHE),买,市价单,91400股,5.01,457914,91400股,-,0,137.37,全部成交,2022-10-31 09:30:00
